"SERVICEINSTNUM","ACCOUNT_NAME","CUSTOMER_SEGMENT","KAM_CATEGORY","SALES_DIVISION","SALES_DEPARTMENT","TERMINATION_REASON","TERM_REASON","MONT_TERMINATION_DATE","MON_TERMINATION_DATE","YEAR_TERMINATION_DATE","CATEGORY_PRODUCT","PRODUCT_LV2","TARIF","TOTAL_BULJAR"
"2017007572OR","CITIBANK N.A","FINANCE BANK","KA","FINANCIAL AND SUPPLY CHAIN STRATEGIC ACCOUNT","EMERGING ACCOUNT AND KEY ACCOUNT 1 FINANCIAL AND SUPPLY CHAIN","Tutup Cabang","TUTUP CABANG","01","Jan","2024","CONNECTITIVY","METRO ETHERNET",9150000,109800000
"2022298407","TASPEN (PERSERO)","FINANCE NON-BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 2","Uji Coba","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",0,0
"2022298408","TASPEN (PERSERO)","FINANCE NON-BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 2","Uji Coba","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",0,0
"2022298377","TASPEN (PERSERO)","FINANCE NON-BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 2","Uji Coba","","01","Jan","2024","CONNECTITIVY","LA DEDICATED INTERNET",0,0
"2021256728","TASPEN (PERSERO)","FINANCE NON-BANK","SKA 2","FINANCIAL AND SUPPLY CHAIN STRATEGIC ACCOUNT","EMERGING ACCOUNT AND KEY ACCOUNT 2 FINANCIAL AND SUPPLY CHAIN","Uji Coba","","01","Jan","2024","CONNECTITIVY","LA DEDICATED INTERNET",0,0
"2020227139","TASPEN (PERSERO)","FINANCE NON-BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 3","Uji Coba","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",0,0
"2012004078","TASPEN (PERSERO)","FINANCE NON-BANK","SKA 2","REGIONAL COMMERCE","DIY, CENTRAL AND EAST JAVA COMMERCIAL","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA BROADBAND INTERNET",900000,10800000
"2017007572","CITIBANK N.A","FINANCE BANK","KA","","","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","METRO ETHERNET",0,0
"2017007573","CITIBANK N.A","FINANCE BANK","KA","FINANCIAL AND SUPPLY CHAIN STRATEGIC ACCOUNT","EMERGING ACCOUNT AND KEY ACCOUNT 1 FINANCIAL AND SUPPLY CHAIN","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","METRO ETHERNET",0,0
"2021276749","SHOPEE INTERNATIONAL INDONESIA","DIGITAL COMPANY","SKA 2","WEST INDONESIA REGIONAL","NORTH SUMATRA AREA","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",0,0
"2021283890","SHOPEE INTERNATIONAL INDONESIA","DIGITAL COMPANY","SKA 2","WEST INDONESIA REGIONAL","NORTH SUMATRA AREA","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",0,0
"2021270049","SHOPEE INTERNATIONAL INDONESIA","DIGITAL COMPANY","SKA 2","WEST INDONESIA REGIONAL","NORTH SUMATRA AREA","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",0,0
"2021269745","SHOPEE INTERNATIONAL INDONESIA","DIGITAL COMPANY","SKA 2","WEST INDONESIA REGIONAL","NORTH SUMATRA AREA","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",0,0
"2021257904","SHOPEE INTERNATIONAL INDONESIA","DIGITAL COMPANY","SKA 2","WEST INDONESIA REGIONAL","NORTH SUMATRA AREA","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","LA DEDICATED INTERNET",4300000,51600000
"2021253297","SHOPEE INTERNATIONAL INDONESIA","DIGITAL COMPANY","SKA 2","WEST INDONESIA REGIONAL","NORTH SUMATRA AREA","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","LA DEDICATED INTERNET",4000000,48000000
"2021265181","SHOPEE INTERNATIONAL INDONESIA","DIGITAL COMPANY","SKA 2","WEST INDONESIA REGIONAL","NORTH SUMATRA AREA","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","LA DEDICATED INTERNET",4800000,57600000
"2021265179","SHOPEE INTERNATIONAL INDONESIA","DIGITAL COMPANY","SKA 2","WEST INDONESIA REGIONAL","NORTH SUMATRA AREA","Tutup Cabang","","01","Jan","2024","CONNECTITIVY","LA DEDICATED INTERNET",4800000,57600000
"2018007734_RLS_010923151408","PERUM LEMBAGA PENYELENGGARA PELAYANAN NAVIGASI PENERBANGAN INDONESIA","GOVERNMENT","KA","RESOURCES AND PUBLIC SECTOR ACCOUNT","RESOURCES ACCOUNT 1","Kebijakan Lintasarta","PASANG BARU","01","Jan","2024","CONNECTITIVY","IPVPN",0,0
"2022338463","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022338933","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022338935","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022337347","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022336576","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171298,2055576
"2022337089","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022336589","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022336655","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171298,2055576
"2022337099","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022336583","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
"2022337364","BANK RAKYAT INDONESIA","FINANCE BANK","SKA 2","FSI AND DIGITAL COMPANIES ACCOUNT","FSI AND DIGITAL COMPANIES ACCOUNT 1","Masa Kontrak(Project Berakhir)","","01","Jan","2024","CONNECTITIVY","LA MANAGED CPE",171288,2055456
